Id,colony,image,area,xcoord,ycoord,b_pres
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,47.43165945,-8.15367289,-70.6148485,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,261.4791642,-8.15383747,-70.61495644,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,78.23700559,-8.15392163,-70.61508878,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,296.5496156,-8.1542847,-70.61530465,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,23.27358283,-8.15463055,-70.61551943,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,55.9305624,-8.15332311,-70.60374656,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,72.4128257,-8.15371813,-70.60379593,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,49.12581105,-8.15380651,-70.60391049,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,186.9701727,-8.15923983,-70.62065896,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,40.60382292,-8.1583684,-70.62131113,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,99.93676103,-8.15944536,-70.62118814,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,21.52163105,-8.15944457,-70.62095163,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,184.2739505,-8.15979195,-70.62099832,yes
0,Atka Bay,2024-04-29-23-56-56_UMBRA-07_GEC.tif,29.0555179,-8.15983754,-70.62177039,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,72.24018894,169.6360851,-73.34858097,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,307.256574,169.6337633,-73.34870221,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,124.329829,169.6330596,-73.34841427,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,177.2027063,169.6339625,-73.34789225,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,51.63369079,169.6331162,-73.34803767,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,55.08452098,169.6374898,-73.34977569,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,50.19155273,169.6333296,-73.34788931,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,236.0599633,169.63794,-73.34972487,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,127.757975,169.637351,-73.35040872,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,117.8947813,169.6369443,-73.35073993,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,239.4206598,169.6379198,-73.35074848,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,68.55305975,169.6399113,-73.35094497,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,47.8094498,169.6408825,-73.35167278,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,79.04718897,169.6407694,-73.35155474,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,51.81248367,169.6411026,-73.35157678,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,62.32392041,169.6418838,-73.3520506,yes
0,Coulman Island,2024-04-23-13-43-22_UMBRA-07_GEC.tif,52.88454609,169.64151,-73.35200163,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,89.01747176,169.6503352,-73.34921919,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,134.5437304,169.6484752,-73.34950964,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,157.0900067,169.6495201,-73.34914219,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,112.9955964,169.6493017,-73.34895045,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,270.2911031,169.6489203,-73.34882162,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,130.4630893,169.6483351,-73.34925219,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,218.85741,169.6477447,-73.34896011,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,108.3278125,169.6476296,-73.34869927,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,142.4995128,169.6478834,-73.34854724,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,203.7972019,169.6474481,-73.3483648,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,136.3638726,169.6476127,-73.34819817,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,54.26738434,169.6479144,-73.34756664,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,245.0146135,169.6471671,-73.34908635,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,64.99668754,169.6459598,-73.34974314,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,25.88913775,169.6492712,-73.3494261,yes
